	id	exchange_rxns_iML1515	transport_rxns_iML1515	exchange_rxns_iYO844	transport_rxns_iYO844	exchange_rxns_iAF692	transport_rxns_iAF692	exchange_rxns	transport_rxns
66	OXIDIZED-GLUTATHIONE	EX_gthox_e		EX_gthox_e				EX_gthox_e	
67	TRIMETHYLAMINE-N-O	EX_tmao_e						EX_tmao_e	
68	ACETALD	EX_acald_e						EX_acald_e	
69	MELIBIOSE	EX_melib_e		EX_melib_e	TRANS-RXN-94			EX_melib_e	TRANS-RXN-94
70	SUCROSE	EX_sucr_e		EX_sucr_e				EX_sucr_e	
71	tre	EX_tre_e		EX_tre_e				EX_tre_e	
72	ZN+2	RXN0-12		RXN0-12	CITt15; ZN2t4; ABC-63-RXN	RXN0-12	ABC-63-RXN	RXN0-12	CITt15; ZN2t4; ABC-63-RXN
73	CPD-9245	EX_hdcea_e						EX_hdcea_e	
74	D-LACTATE	EX_lac__D_e						EX_lac__D_e	
75	CPD-20392	EX_ttdcea_e						EX_ttdcea_e	
76	h2s	EX_h2s_e				TRANS-RXN-310	H2St1	EX_h2s_e	
77	GLUTATHIONE	EX_gthrd_e		EX_gthrd_e				EX_gthrd_e	
78	MESO-DIAMINOPIMELATE	EX_26dap__M_e						EX_26dap__M_e	
79	acnam	EX_acnam_e		EX_acnam_e	ACNAMt2			EX_acnam_e	ACNAMt2
80	AMP	EX_amp_e		EX_amp_e	AMPt6			EX_amp_e	AMPt6
81	DIHYDROXYACETONE	TRANS-RXN0-559		EX_dha_e	TRANS-RXN0-559			EX_dha_e	TRANS-RXN0-559
82	fuc__L	EX_fuc__L_e						EX_fuc__L_e	
83	CPD-218	EX_met__D_e		EX_met__D_e	TRANS-RXN0-202			EX_met__D_e	TRANS-RXN0-202
84	TARTRATE	EX_tartr__L_e						EX_tartr__L_e	
85	TAURINE	EX_taur_e		EX_taur_e	TAURabc			EX_taur_e	TAURabc
86	MALTOPENTAOSE	EX_maltpt_e						EX_maltpt_e	
87	GLYCERALD	EX_glyald_e				EX_glyald_e	GLYALDt	EX_glyald_e	
88	D-Glucopyranuronate	EX_glcur_e		EX_glcur_e	GLCURt2r			EX_glcur_e	GLCURt2r
89	NICOTINAMIDE_NUCLEOTIDE	EX_nmn_e						EX_nmn_e	
90	UREA	TRANS-RXN0-460		TRANS-RXN0-460	UREAt	TRANS-RXN0-460	UREAt	TRANS-RXN0-460	UREAt
91	FRUCTOSE-6P	EX_f6p_e		EX_f6p_e	F6Pt6_2			EX_f6p_e	F6Pt6_2
92	rmn	EX_rmn_e		EX_rmn_e	TRANS-RXN-112			EX_rmn_e	TRANS-RXN-112
93	CPD-7836	EX_ttdca_e						EX_ttdca_e	
94	GLYCOLLATE	RXN0-5111		RXN0-5111	TRANS-RXN-105			RXN0-5111	TRANS-RXN-105
95	D-glucopyranose-6-phosphate	EX_g6p_e		EX_g6p_e	G6Pt6_2			EX_g6p_e	G6Pt6_2
96	2-DEHYDRO-3-DEOXY-D-GLUCONATE	EX_2ddglcn_e		EX_2ddglcn_e	TRANS-RXN-113			EX_2ddglcn_e	TRANS-RXN-113
97	CPD-397	EX_mmet_e						EX_mmet_e	
98	D-GALACTARATE	EX_galct__D_e		TRANS-RXN0-203	GALCTRt2			EX_galct__D_e	GALCTRt2
99	L-IDONATE	EX_idon__L_e						EX_idon__L_e	
100	INDOLE	EX_indole_e						EX_indole_e	
101	CPD-10797	EX_3hcinnm_e						EX_3hcinnm_e	
102	3-KETOBUTYRATE	TRANS-RXN0-281		TRANS-RXN0-281	ACACt2			TRANS-RXN0-281	ACACt2
103	N-acetyl-D-mannosamine	EX_acmana_e		EX_acmana_e	ACMANAt2			EX_acmana_e	ACMANAt2
104	D-Galactopyranuronate	EX_galur_e		EX_galur_e	TRANS-RXN-123			EX_galur_e	TRANS-RXN-123
105	S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE	DM_amob_c						DM_amob_c	
106	ADENOSINE	EX_adn_e		EX_adn_e	ADNt2			EX_adn_e	ADNt2
107	INOSINE	EX_ins_e		EX_ins_e	TRANS-RXN-108G			EX_ins_e	TRANS-RXN-108G
108	MG+2	TRANS-RXN-141		TRANS-RXN-141	MGt5; ICITt10; CITt10	TRANS-RXN-141	MGt5; MG2abc	TRANS-RXN-141	MGt5; ICITt10; CITt10
109	GLYCEROL-3P	EX_glyc3p_e		EX_glyc3p_e	GLY3Pt2			EX_glyc3p_e	GLY3Pt2
110	BUTYRIC_ACID	EX_but_e						EX_but_e	
111	lcts	EX_lcts_e		EX_lcts_e	LCTSabc			EX_lcts_e	LCTSabc
112	STEARIC_ACID	EX_ocdca_e						EX_ocdca_e	
113	COB-I-ALAMIN	EX_cbl1_e	CBL1tonex			RXN0-1565	ABC-5-RXN	EX_cbl1_e	
114	NIACINE	EX_nac_e		EX_nac_e	NACt	EX_nac_e	NACt	EX_nac_e	NACt
115	DEOXYADENOSINE	EX_dad_2_e		EX_dad_2_e	TRANS-RXN-108C			EX_dad_2_e	TRANS-RXN-108C
116	D-SERINE	TRANS-RXN0-495		TRANS-RXN0-495	RXN0-5130			TRANS-RXN0-495	RXN0-5130
117	D-GLUCOSAMINE-6-P	EX_gam6p_e		EX_gam6p_e	GAM6Pt			EX_gam6p_e	GAM6Pt
118	CADAVERINE	EX_15dap_e						EX_15dap_e	
119	OLEATE-CPD	EX_ocdcea_e						EX_ocdcea_e	
120	CPD-69	EX_cynt_e						EX_cynt_e	
121	D-GALACTONATE	EX_galctn__D_e						EX_galctn__D_e	
122	BETAINE	TRANS-RXN0-490		TRANS-RXN0-490	TRANS-RXN-283; TRANS-RXN-29A	TRANS-RXN0-490	TRANS-RXN-283	TRANS-RXN0-490	TRANS-RXN-283; TRANS-RXN-29A
123	CA+2	EX_ca2_e		EX_ca2_e	CAt4; CA2abc1; CITt14	EX_ca2_e	CAt6; TRANS-RXN-193	EX_ca2_e	CAt4; CA2abc1; CITt14
124	so3	EX_so3_e				EX_so3_e	SO3t	EX_so3_e	
125	ASCORBATE	EX_ascb__L_e						EX_ascb__L_e	
126	B-ALANINE	EX_ala_B_e		EX_ala_B_e	RXN0-5201			EX_ala_B_e	RXN0-5201
127	AGMATHINE	EX_agm_e						EX_agm_e	
128	MI-HEXAKISPHOSPHATE	EX_minohp_e						EX_minohp_e	
129	ppt	EX_ppt_e						EX_ppt_e	
130	HEXANOATE	EX_hxa_e						EX_hxa_e	
131	CPD-15867	EX_lyx__L_e						EX_lyx__L_e	
132	NACMUR	EX_acmum_e						EX_acmum_e	
133	CPD-3617	EX_dca_e						EX_dca_e	
134	all__D	EX_all__D_e						EX_all__D_e	
135	CPD-195	EX_octa_e						EX_octa_e	
136	GAMMA-BUTYROBETAINE	EX_gbbtn_e		EX_gbbtn_e	GBBTNabc			EX_gbbtn_e	GBBTNabc
137	L-XYLULOSE	EX_xylu__L_e						EX_xylu__L_e	
138	GDP	EX_gdp_e						EX_gdp_e	
139	GTP	EX_gtp_e						EX_gtp_e	
140	TRIMETHYLAMINE	EX_tma_e				EX_tma_e	TMAt2	EX_tma_e	
141	FRUCTURONATE	EX_fruur_e						EX_fruur_e	
142	MALTOTRIOSE	EX_malttr_e		EX_malttr_e	TRANS-RXN0-503			EX_malttr_e	TRANS-RXN0-503
143	COBINAMIDE	EX_cbi_e	CBItonex			TRANS-RXN0-283	TRANS-RXN-296	EX_cbi_e	
144	arbtn_fe3	EX_arbtn_fe3_e	ARBTNtonex					EX_arbtn_fe3_e	
145	cpgn	EX_cpgn_e	CPGNtonex					EX_cpgn_e	
146	ch4	EX_ch4_e				EX_ch4_e	TRANS-RXN0-526	EX_ch4_e	
147	ADENOSYLCOBALAMIN	EX_adocbl_e	ADOCBLtonex					EX_adocbl_e	
148	PROPIONATE	TRANS-RXN0-505		TRANS-RXN0-505	PPAt6			TRANS-RXN0-505	PPAt6
149	NI+2	TRANS-RXN-141B		TRANS-RXN-141B	CITt12	TRANS-RXN-141B	NIt5; NIabc	TRANS-RXN-141B	CITt12
150	NITRIC-OXIDE	EX_no_e						EX_no_e	
151	FAD	EX_fad_e						EX_fad_e	
152	meoh	TRANS-RXN0-459		TRANS-RXN0-459		TRANS-RXN0-459	MEOHt2	TRANS-RXN0-459	
153	fe3dcit	EX_fe3dcit_e	FE3DCITtonex					EX_fe3dcit_e	
154	CPD0-2114	EX_fe3hox_e	FE3HOXtonex					EX_fe3hox_e	
155	CPD0-2241	EX_fecrm_e	FECRMtonex					EX_fecrm_e	
156	feenter	EX_feenter_e	FEENTERtonex					EX_feenter_e	
157	CPD0-2124	EX_feoxam_e	FEOXAMtonex					EX_feoxam_e	
158	CPD-3706	EX_3amp_e		EX_3amp_e	3AMPt6			EX_3amp_e	3AMPt6
159	CPD-3708	EX_3gmp_e		EX_3gmp_e	3GMPt6			EX_3gmp_e	3GMPt6
160	CPD-3724	EX_3ump_e		EX_3ump_e	3UMPt6			EX_3ump_e	3UMPt6
161	CU+2	RXN0-14		RXN0-14	Cut1	RXN0-14	Cuabc; Cut1	RXN0-14	Cut1
162	GLYCERATE	EX_glyc__R_e						EX_glyc__R_e	
163	eca4colipa	EX_eca4colipa_e	ECA4COLIPAabctex					EX_eca4colipa_e	
164	CPD-660	EX_mal__D_e		EX_mal__D_e	MAL_Dt2			EX_mal__D_e	MAL_Dt2
165	SELENATE	EX_sel_e						EX_sel_e	
166	HG+2	EX_hg2_e		EX_hg2_e	HGt			EX_hg2_e	HGt
167	CO+2	TRANS-RXN-141A		TRANS-RXN-141A	CITt13	EX_cobalt2_e	TRANS-RXN-141A; COabc	TRANS-RXN-141A	CITt13
168	PROTOHEME	EX_pheme_e						EX_pheme_e	
169	CPD-3746	EX_mso3_e		EX_mso3_e	MSO3abc			EX_mso3_e	MSO3abc
170	CPD-3707	EX_23camp_e						EX_23camp_e	
171	CPD-3709	EX_23cgmp_e						EX_23cgmp_e	
172	CPD-3725	EX_23cump_e						EX_23cump_e	
173	CPD-10246	EX_sulfac_e		EX_sula_e	SULAabc			EX_sulfac_e	SULAabc
174	CPD-3744	EX_butso3_e						EX_butso3_e	
175	CPD-10434	EX_ethso3_e		EX_eths_e	ETHSabc			EX_ethso3_e	ETHSabc
176	TYRAMINE	EX_tym_e						EX_tym_e	
177	IMP	EX_imp_e						EX_imp_e	
178	CPD0-2175	EX_fe3hox_un_e	FE3HOXUtpp					EX_fe3hox_un_e	
179	23dappa	EX_23dappa_e						EX_23dappa_e	
180	CD+2	RXN0-10		RXN0-10	CD2t4; CD2abc1	RXN0-10	CD2abc2; CD2abc1	RXN0-10	CD2t4; CD2abc1
181	ENTEROBACTIN	EX_enter_e	FEENTERtex					EX_enter_e	
182	CPD0-2205	EX_fecrm_un_e	FECRMUtex					EX_fecrm_un_e	
183	CYS-GLY	EX_cgly_e		EX_cgly_e	CYSGLYt2ir; DIPEPabc15			EX_cgly_e	CYSGLYt2ir; DIPEPabc15
184	chtbs	EX_chtbs_e						EX_chtbs_e	
185	GMP	TRANS-RXN0-565		TRANS-RXN0-565	GMPt6			TRANS-RXN0-565	GMPt6
186	HYDROGEN-PEROXIDE	EX_h2o2_e		EX_h2o2_e				EX_h2o2_e	
187	UMP	EX_ump_e		EX_ump_e	UMPt6			EX_ump_e	UMPt6
188	PYRIDOXAMINE	EX_pydam_e						EX_pydam_e	
189	FRUCTOSELYSINE	EX_frulys_e						EX_frulys_e	
190	enlipa	EX_enlipa_e	ENLIPAabctex					EX_enlipa_e	
191	hacolipa	EX_hacolipa_e						EX_hacolipa_e	
192	ETHANOL-AMINE	TRANS-RXN0-476		TRANS-RXN0-476	ETHAt6	TRANS-RXN0-476	ETHAt6	TRANS-RXN0-476	ETHAt6
193	PALMITATE	EX_hdca_e						EX_hdca_e	
194	D-GLUCARATE	TRANS-RXN0-204		TRANS-RXN0-204	GLCRt2r			TRANS-RXN0-204	GLCRt2r
195	WATER	EX_h2o_e		EX_h2o_e	H2Ot	EX_h2o_e	H2Ot	EX_h2o_e	H2Ot
196	D-ALANINE	EX_ala__D_e		EX_ala__D_e	TRANS-RXN-62A			EX_ala__D_e	TRANS-RXN-62A
197	MANNITOL	EX_mnl_e		EX_mnl_e				EX_mnl_e	
198	malt	EX_malt_e		EX_malt_e	MALTabc			EX_malt_e	MALTabc
199	PANTOTHENATE	EX_pnto__R_e		EX_pnto__R_e	PNTOt2	EX_pnto__R_e	PNTOt2	EX_pnto__R_e	PNTOt2
