	id	exchange_rxns_iML1515	transport_rxns_iML1515	exchange_rxns_iYO844	transport_rxns_iYO844	exchange_rxns_iAF692	transport_rxns_iAF692	exchange_rxns	transport_rxns
266	CL-	EX_cl_e				EX_cl_e	TRANS-RXN-139	EX_cl_e	
267	DGMP	EX_dgmp_e						EX_dgmp_e	
268	HYDRPHENYLAC-CPD	EX_4hoxpacd_e						EX_4hoxpacd_e	
269	3-HYDROXYPHENYL-PROPIONATE	EX_3hpppn_e						EX_3hpppn_e	
270	man6p	EX_man6p_e		EX_man6p_e	MAN6Pt6			EX_man6p_e	MAN6Pt6
271	S2O3	EX_tsul_e				EX_tsul_e	ABC-7-RXN	EX_tsul_e	
272	NITROUS-OXIDE	EX_n2o_e						EX_n2o_e	
273	maltttr	EX_maltttr_e						EX_maltttr_e	
274	D-ALA-D-ALA	EX_alaala_e		EX_alaala_e				EX_alaala_e	
275	TMP	EX_dtmp_e		EX_dtmp_e	DTMPt6			EX_dtmp_e	DTMPt6
276	CPD0-2167	DM_5drib_c						DM_5drib_c	
277	LIPOIC-ACID	EX_lipoate_e		TRANS-RXN0-278	LIPTabc			EX_lipoate_e	LIPTabc
278	PYRIDOXAL	EX_pydx_e						EX_pydx_e	
279	g1p	EX_g1p_e		EX_g1p_e	G1Pt6_2			EX_g1p_e	G1Pt6_2
280	OXAMATE	DM_oxam_c						DM_oxam_c	
281	OXYGEN-MOLECULE	TRANS-RXN0-474		TRANS-RXN0-474	O2t			TRANS-RXN0-474	O2t
282	CPD0-2182	EX_progly_e						EX_progly_e	
283	GALACTOSE	EX_gal_bD_e						EX_gal_bD_e	
284	DUMP	EX_dump_e						EX_dump_e	
285	CPD-8891	EX_12ppd__R_e						EX_12ppd__R_e	
286	SUPER-OXIDE	EX_o2s_e						EX_o2s_e	
287	GALACTOSE-1P	EX_gal1p_e						EX_gal1p_e	
288	DCMP	EX_dcmp_e						EX_dcmp_e	
289	CPD-3713	EX_23ccmp_e						EX_23ccmp_e	
290	CPD-3711	EX_3cmp_e		EX_3cmp_e	3CMPt6			EX_3cmp_e	3CMPt6
291	urate	EX_urate_e		EX_urate_e	URATEt_1			EX_urate_e	URATEt_1
292	SHIKIMATE	EX_skm_e						EX_skm_e	
293	CPD0-2262	EX_cpgn_un_e	CPGNUtex					EX_cpgn_un_e	
294	AG+	EX_ag_e	AGt3					EX_ag_e	
295	D-CYSTEINE	EX_cys__D_e		EX_cys__D_e				EX_cys__D_e	
296	ACETYLSERINE	EX_acser_e						EX_acser_e	
297	CU+	EX_cu_e	CUt3					EX_cu_e	
298	arbtn	EX_arbtn_e	ARBTNtex					EX_arbtn_e	
299	DOPAMINE	EX_dopa_e						EX_dopa_e	
300	D-TARTRATE	EX_tartr__D_e						EX_tartr__D_e	
301	CPD0-1083	EX_galctn__L_e						EX_galctn__L_e	
302	HOMO-SER	EX_hom__L_e						EX_hom__L_e	
303	TUNGSTATE	EX_tungs_e						EX_tungs_e	
304	D-CARNITINE	EX_crn__D_e						EX_crn__D_e	
305	LalaDgluMdapDala	EX_LalaDgluMdapDala_e						EX_LalaDgluMdapDala_e	
306	5-DEHYDROGLUCONATE	EX_5dglcn_e						EX_5dglcn_e	
307	LalaDgluMdap	EX_LalaDgluMdap_e						EX_LalaDgluMdap_e	
308	PSICOSELYSINE	EX_psclys_e						EX_psclys_e	
309	anhgm	EX_anhgm_e						EX_anhgm_e	
310	CPD-1772	DM_aacald_c						DM_aacald_c	
311	CPD-665	EX_ppal_e						EX_ppal_e	
312	SELENITE	EX_slnt_e						EX_slnt_e	
313	CPD0-2190	EX_LalaDglu_e						EX_LalaDglu_e	
314	CPD-560	TRANS-RXN0-461		TRANS-RXN0-461	5MTRt2			TRANS-RXN0-461	5MTRt2
315	CPD0-1445	EX_LalaLglu_e						EX_LalaLglu_e	
316	CPD0-1414	EX_ttrcyc_e	TTRCYCtpp					EX_ttrcyc_e	
317	CPD-19259	EX_mincyc_e	MINCYCtpp					EX_mincyc_e	
318	CPD-108	DM_4crsol_c						DM_4crsol_c	
319	HYDROQUINONE-O-BETA-D-GLUCOPYRANOSIDE	EX_arbt_e		EX_arbt_e				EX_arbt_e	
320	dxylnt	EX_dxylnt_e						EX_dxylnt_e	
321	CPD-10774	EX_mththf_e; DM_mththf_c						EX_mththf_e; DM_mththf_c	
322	CPD-13973	EX_doxrbcn_e	DOXRBCNtpp					EX_doxrbcn_e	
323	dhps	EX_dhps_e						EX_dhps_e	
324	cs1	EX_cs1_e						EX_cs1_e	
325	CPD0-1606	EX_fusa_e	FUSAtpp					EX_fusa_e	
326	mepn	EX_mepn_e						EX_mepn_e	
327	CHLORAMPHENICOL	EX_cm_e	CMtpp					EX_cm_e	
328	CPD-15417	EX_novbcn_e	NOVBCNtpp					EX_novbcn_e	
329	2-DEOXY-D-GLUCOSE	EX_2dglc_e						EX_2dglc_e	
330	sq	EX_sq_e						EX_sq_e	
331	4abzglu	EX_4abzglu_e						EX_4abzglu_e	
332	CPD-18727	EX_rfamp_e	RFAMPtpp					EX_rfamp_e	
333	metglcur	EX_metglcur_e						EX_metglcur_e	
334	QUINATE	EX_quin_e						EX_quin_e	
335	3-HYDROXY-PROPIONATE	EX_3hpp_e						EX_3hpp_e	
336	KDO2-LIPID-IVA		K2L4Aabctex						
337	o16a4colipa		O16A4COLIPAabctex						
338	CPD0-2271		COLIPAabctex						
339	CPD0-2293		ACOLIPAabctex						
340	colipap		COLIPAPabctex						
341	lipa		LIPAabctex						
342	KDO2-LIPID-IVA-COLD		CLIPAabctex						
343	drib			EX_drib_e	DRIBabc				DRIBabc
344	CPD-2961			EX_6pgc_e	6PGCt6				6PGCt6
345	CROTONO-BETAINE			EX_ctbt_e	CTBTabc				CTBTabc
346	Larab			EX_Larab_e					
347	ECTOINE			EX_ectoine_e	ECTOINEabc				ECTOINEabc
348	L-CYSTATHIONINE			TRANS-RXN0-512	CYSTabc				CYSTabc
349	L-CYSTEATE			EX_Lcyst_e	LCYSTabc				LCYSTabc
350	L-ARABITOL			EX_abt__L_e	ABTt_1				ABTt_1
351	dextrin			EX_dextrin_e	DEXTRINt2				DEXTRINt2
352	ferrich			EX_ferrich_e	FERRICHabc				FERRICHabc
353	DIACETYL			EX_diact_e					
354	CPD-3740			EX_djenk_e	TRANS-RXN0-508				TRANS-RXN0-508
355	ferxa			EX_ferxa_e	FERXAabc				FERXAabc
356	CPD-12826			EX_fol_e	FOLt	EX_fol_e	FOLt		FOLt
357	CPD-10353			EX_actn__R_e	ACTNabc1; ACTNabc	EX_actn__R_e	ACTNt2r		ACTNabc1; ACTNabc
358	ala_L_Thr__L			EX_ala_L_Thr__L_e	DIPEPabc7				DIPEPabc7
359	CPD-13404			EX_ala_L_asp__L_e	DIPEPabc1				DIPEPabc1
360	CPD-13403			EX_ala_L_gln__L_e	DIPEPabc2				DIPEPabc2
361	ala_L_glu__L			EX_ala_L_glu__L_e	DIPEPabc3				DIPEPabc3
362	ALA-GLY			EX_L_alagly_e	DIPEPabc4				DIPEPabc4
363	ala_L_his__L			EX_ala_L_his__L_e	DIPEPabc5				DIPEPabc5
364	CPD-13398			EX_ala_L_leu__L_e	DIPEPabc6				DIPEPabc6
365	D-GLT			EX_glu__D_e	GLU_Dt2				GLU_Dt2
366	amylase			EX_amylase_e					
367	antim			EX_antim_e	ANTIMt1				ANTIMt1
368	D-arabinopyranose			EX_arab__D_e	ARAB_Dt				ARAB_Dt
369	L-ARGININE-P			EX_argp_e	ARGPt6				ARGPt6
370	arsenb			EX_arsenb_e	ARSENBt2; ARSENBabc				ARSENBt2; ARSENBabc
371	arsna			EX_arsna_e	ARSNAt1				ARSNAt1
372	arsni2			EX_arsni2_e	ARSt1				ARSt1
373	bilea			EX_bilea_e	BILEt4				BILEt4
374	BUTANEDIOL			EX_btd_RR_e	BTDt6_RR				BTDt6_RR
375	GLYOX			RXN0-1982	GLXt2				GLXt2
376	buts			EX_buts_e	BUTSabc				BUTSabc
377	CPD-1829			EX_cbl2_e	CBL2abc				CBL2abc
378	PUROMYCIN			EX_pur_e	PURabc1				PURabc1
379	gly_asn__L			EX_gly_asn__L_e	DIPEPabc8				DIPEPabc8
380	CPD-1099			EX_raffin_e	RAFFINt2				RAFFINt2
381	CPD-13406			EX_gly_asp__L_e	DIPEPabc13				DIPEPabc13
382	RIBOFLAVIN			EX_ribflv_e	RIBFLVt2	EX_ribflv_e	RIBFLVt2		RIBFLVt2
383	CHITOBIOSE			TRANS-RXN0-445					
384	CPD-13394			EX_gly_gln__L_e	DIPEPabc9				DIPEPabc9
385	CPD-543			EX_chols_e	CHOLSabc_1				CHOLSabc_1
386	CHORISMATE			EX_chor_e	CHORt2				CHORt2
387	CPD-1142			EX_salcn_e					
388	gly_glu__L			EX_gly_glu__L_e	DIPEPabc10				DIPEPabc10
389	L-CITRULLINE			TRANS-RXN-227	CITRt2r				CITRt2r
390	CPD-13393			EX_gly_met__L_e	DIPEPabc11				DIPEPabc11
391	CPD-4422			EX_cro4_e	CRO4t3				CRO4t3
392	srb__L			EX_srb__L_e	SRB_Lt				SRB_Lt
393	starch			EX_starch_e					
394	subtilisin			EX_subtilisin_e					
395	gly_pro__L			EX_gly_pro__L_e	DIPEPabc14				DIPEPabc14
396	THIOGLYCOLATE			EX_thiog_e	THIOGabc				THIOGabc
397	Glycogens			EX_glycogen_e	GLYCOGENt				GLYCOGENt
398	tmp			EX_tmp_e	TMPt6				TMPt6
399	CPD0-2074			EX_hexs_e	HEXSabc				HEXSabc
400	HYDROQUINONE			TRANS-RXN0-529	HQNt6				HQNt6
401	icit			EX_icit_e	ICITt10; ICITt2				ICITt10; ICITt2
402	CPD-3736			EX_lanth_e	TRANS-RXN0-513				TRANS-RXN0-513
